,system,smirnoff_fe,smirnoff_sem,bgbg_tip3p_fe,bgbg_tip3p_sem,guest_type
44,b-ben-p,-1.1590876700534896,0.3089326933748787,-1.0254831000000015,0.355705032667293,aliphatic_carboxylates
45,b-ben-s,-1.7779412173652727,0.29512639705773863,-1.5861296999999999,0.40571343730634557,aliphatic_carboxylates
46,b-cbu-p,-1.4760595914135042,0.2683612182051658,-0.28852030000000095,0.3533682417292901,cyclic_alcohols
47,b-cbu-s,-1.3794980071734404,0.2880664748701609,-1.5484044999999993,0.40765207148334226,cyclic_alcohols
48,b-chp-p,-2.684366360056414,0.30360557661372245,-2.840631300000001,0.3531328212006921,cyclic_alcohols
49,b-chp-s,-3.020857122275432,0.26870860771836974,-2.7793057999999986,0.3438252012422155,cyclic_alcohols
50,b-coc-p,-3.5274216951263764,0.3639405234257069,-3.4659734999999996,0.35409598276978516,cyclic_alcohols
51,b-coc-s,-2.944081796735661,0.3140691975643813,-2.9569160000000023,0.3469092460302694,cyclic_alcohols
52,b-cpe-p,-1.9477796292801042,0.2565385933169591,-1.5933610000000007,0.3498558458362673,cyclic_alcohols
53,b-cpe-s,-1.8684064359045305,0.2618181941956265,-2.155046999999999,0.35931016127332105,cyclic_alcohols
54,b-ham-p,-1.3377998069983708,0.28543438976800384,-0.694051400000002,0.38473615818370904,aliphatic_ammoniums
55,b-ham-s,-2.1932095560187026,0.27841058201994584,-1.4957267000000014,0.35700351947028475,aliphatic_ammoniums
56,b-hep-p,-2.2095622395250007,0.313868982774038,-1.8914390999999986,0.35809952901869335,aliphatic_carboxylates
57,b-hep-s,-3.384404744193068,0.28799080434439533,-3.330453600000001,0.35246946672290635,aliphatic_carboxylates
58,b-hex-p,-1.6872509958225503,0.3186829507188939,-1.6630038999999988,0.38133020936989764,aliphatic_carboxylates
59,b-hex-s,-2.8263309785994384,0.28442574373817125,-2.233586999999999,0.34478045798545487,aliphatic_carboxylates
60,b-m4c-p,-2.7952204460022987,0.26317355236410384,-2.1678026999999984,0.3494745882740117,cyclic_alcohols
61,b-m4c-s,-2.782525808232224,0.2733046480148601,-2.5151460000000005,0.35117163913573657,cyclic_alcohols
62,b-m4t-p,-3.310710319421789,0.27268281853849397,-2.948236799999999,0.3639313678273968,cyclic_alcohols
63,b-m4t-s,-3.4452108215398116,0.2579360586797875,-3.119358900000001,0.34992308367132624,cyclic_alcohols
64,b-mch-p,-3.2999363927034917,0.29242586976058804,-1.8818131000000013,0.3620193558795026,cyclic_alcohols
65,b-mch-s,-3.156128667015766,0.33560620877593755,-2.7309702999999983,0.3461236517708809,cyclic_alcohols
66,b-mha-p,-1.9077440776227856,0.3080766193718934,-1.0082914,0.35774593268787835,aliphatic_ammoniums
67,b-mha-s,-2.486215387459813,0.2990065036901799,-1.374944000000002,0.351311057273693,aliphatic_ammoniums
68,b-mo3-p,-2.0261560900572295,0.4656395691394062,-1.637711200000001,0.4357856268151349,aliphatic_carboxylates
69,b-mo3-s,-2.677170652865003,0.48440047506565453,-2.6820504000000005,0.44714938119922515,aliphatic_carboxylates
70,b-mo4-p,-2.390177725385657,0.3189772032669633,-2.0042225,0.3752106031399432,aliphatic_carboxylates
71,b-mo4-s,-4.141267929417884,0.4389656814294615,-2.9587328000000026,0.36973562968122237,aliphatic_carboxylates
72,b-mp3-p,-2.1359028889592384,0.435242798481013,-1.2353551999999999,0.3936144670365661,aliphatic_carboxylates
73,b-mp3-s,-2.7123168940420204,0.38692318649975715,-2.019430299999999,0.3823844940582842,aliphatic_carboxylates
74,b-mp4-p,-1.6118428796214506,0.36071838191328043,-1.334592100000001,0.3775700417362585,aliphatic_carboxylates
75,b-mp4-s,-2.796386325882926,0.39453427643044137,-2.7068953999999996,0.3741116743336406,aliphatic_carboxylates
76,b-oam-p,-2.858695911730658,0.2768437580699241,-1.9879282999999992,0.3576183258597495,aliphatic_ammoniums
77,b-oam-s,-3.304081578208409,0.30350848899527233,-2.494959099999998,0.3474869797564507,aliphatic_ammoniums
78,b-pb3-p,-2.144084784375581,0.34009021263701367,-1.8066403000000006,0.3556801240502061,aliphatic_carboxylates
79,b-pb3-s,-3.136800448067584,0.48329609915399285,-2.6567135000000013,0.37847087205787716,aliphatic_carboxylates
80,b-pb4-p,-2.5763552607606837,0.35582485637316974,-1.8738582999999975,0.3867604628405546,aliphatic_carboxylates
81,b-pb4-s,-3.5471705045467257,0.3670541514986823,-3.2668661000000006,0.3922398871046645,aliphatic_carboxylates
82,b-pha-p,-1.5393554914857521,0.4008134513286306,-0.9246733999999988,0.36906214855300457,aliphatic_carboxylates
83,b-pha-s,-2.9101802723287893,0.440814974731958,-2.2376835999999996,0.381917748861008,aliphatic_carboxylates
84,b-pnt-p,-1.0857427426041877,0.3278420647548536,-0.8857849,0.38232576946788455,aliphatic_carboxylates
85,b-pnt-s,-1.9284088439465084,0.30120888098156695,-1.4970534000000013,0.37689381845779857,aliphatic_carboxylates
