,system,ff,guest_type,total,bond,ang,dih,v14,e14,ele,vdw,total_sem,bond_sem,ang_sem,dih_sem,v14_sem,e14_sem,ele_sem,vdw_sem
72,a-oct-p,smirnoff,aliphatic_carboxylates,-5.710874627518933,-1.2628784576613477,-5.560015818187509,12.645000127471803,0.2915560327968336,3.967441396642357,-9.274593577163614,-6.517384331437825,0.3239742307375856,0.08115408658880957,0.10269231123542062,0.3270985914780979,0.1540898607035802,0.3741023886853814,0.5726401712134752,0.2108107746955906
73,a-oct-p,bgbg_tip3p,aliphatic_carboxylates,-3.8266576042187808,-1.3072025107285938,-5.47791760763252,12.272822448486465,0.7377608908252071,3.6112894214240896,-6.837111708435259,-6.826298538134779,0.3941676252412698,0.022167426653027428,0.06707955993155766,0.2024822569660468,0.09978812339259571,0.3660217386824975,0.4461941012480109,0.31533517435614206
74,a-oam-p,smirnoff,aliphatic_ammoniums,-4.797924487378623,-1.0822387716373072,-5.490473492418374,11.300012703461078,0.643000775082541,1.9299087977781255,-6.375865666504978,-5.722268833157159,0.28705905147033955,0.01933448118603221,0.06863188326615197,0.13591646342144367,0.026232077377268338,0.1929931409024589,0.541403641595499,0.16970317224721626
75,a-oam-p,bgbg_tip3p,aliphatic_ammoniums,-4.203041855205811,-1.3424366754010393,-5.487196105381244,11.312755375115842,0.7046228313355734,2.2682190753344003,-5.323992818444822,-6.3350135377527295,0.44227326176898785,0.02699639265707076,0.2205424409939987,0.41662458909643546,0.0677322312368803,0.835346309935172,1.1040746520575924,0.20585607807438286
76,a-oam-s,smirnoff,aliphatic_ammoniums,-5.512613318529475,-1.334950896096224,-5.955264605113513,12.18457240396151,0.23884011207212552,1.8439604066245465,-6.247279554383567,-6.242491185591916,0.41633113287614887,0.13245782519304014,0.05757613660307769,0.695489208021628,0.22095137433639664,0.6121566846448073,0.7365826042904036,0.13995886197183696
77,a-oam-s,bgbg_tip3p,aliphatic_ammoniums,-3.078097713103489,-1.2021504187395848,-5.300290193085985,11.308991122180629,0.8368854325655839,1.3917452668581518,-4.091107940323127,-6.022170982568241,0.2934519209439814,0.013148145753773014,0.05398203859472564,0.1398728001146144,0.019657549757126063,0.17993328754015273,0.3442351085727444,0.16658847185927558
78,a-oct-s,smirnoff,aliphatic_carboxylates,-6.1651265648288245,-0.9645633798964468,-4.491977692674894,10.697109100305994,0.2164377928931671,1.7697962379927503,-8.498758443820407,-4.893170179629124,0.23431309257895885,0.03761068459312897,0.06862406689613886,0.1968520787410426,0.1051186976505693,0.20505207067723744,0.32314603084689386,0.1813664957240887
79,a-oct-s,bgbg_tip3p,aliphatic_carboxylates,-4.738835354768526,-1.123932770252651,-4.764077020194151,11.153059256873377,0.504634147080921,1.5806199326207206,-6.809314215104678,-5.279824685773747,0.30403172612565177,0.03571264060167795,0.13076035865277008,0.2612928459811509,0.15204565635888215,0.4978430028166825,0.5567874569972046,0.28939534051273036
80,a-pnt-p,smirnoff,aliphatic_carboxylates,-2.8699387195083546,-0.8562439368245336,-4.2019709830572936,9.10140321942933,0.29461042781637303,2.5826726142607868,-5.045828809918021,-4.744581251204181,0.2574341583304492,0.11914276902201386,0.5751168437255956,1.3575873339821594,0.051412713759315186,0.41758151688310163,0.7592998164054778,0.5184334142691014
81,a-pnt-p,bgbg_tip3p,aliphatic_carboxylates,-1.1559814946594997,-1.47157174085239,-4.745802583451521,12.384992641454403,-0.2196162780163462,1.2439281710599062,-3.0779892520440626,-5.269922452791889,0.6107013987277485,0.1417741585730516,0.20214983577391307,0.782311853684303,0.29773933897383714,0.7134728817765364,0.9643169554169151,0.3166405265873256
82,a-pam-p,smirnoff,aliphatic_ammoniums,-1.625951293928665,-1.267899323196204,-4.909834242957643,11.295392558550816,-0.010801972996638654,0.9930640618086954,-3.1089507722826966,-4.616921602848379,0.6148160979304624,0.12108957268598729,0.141352639478687,0.5764664072821433,0.231672059005177,0.4683850390932626,0.9722047596571178,0.16044145119721015
83,a-pam-p,bgbg_tip3p,aliphatic_ammoniums,-0.9923027044314949,-1.2791221822165255,-4.804305146472558,10.477486154243351,-0.030517366564353665,-1.651033306092927,0.7094958079396747,-4.414306665277763,0.46063920136528275,0.13081511216248945,0.44643346770949827,1.0423843702903406,0.1940231537349943,0.32985905932064596,0.4298585695504967,0.34974446192447345
84,a-pam-s,smirnoff,aliphatic_ammoniums,-3.4633796791094937,-1.0869022188973467,-5.658297771642751,10.883411022023722,0.22610294845897272,0.05841020489162929,-2.8934902092951233,-4.992613654606885,0.26308726254752834,0.06745822127237595,0.0579699349319467,0.20196645790342682,0.1469375736532081,0.2668685740839718,0.38380472419075884,0.14923573956515565
85,a-pam-s,bgbg_tip3p,aliphatic_ammoniums,-0.7075873380017583,-1.0821776985209866,-4.7163140862242585,10.20561967762579,0.5123573238145909,-0.08556704070633714,-0.9884722550559673,-4.553033258976029,0.3037600630809804,0.03067380869552875,0.12442933287282314,0.26074009234216156,0.10090396484540055,0.291685507931704,0.46588475469542895,0.25302194601820827
86,a-pnt-s,smirnoff,aliphatic_carboxylates,-1.6590860606265778,-0.8976245686279967,-2.1306737340847803,7.664575226325553,-0.3217401686005985,1.129361289209669,-3.9902167498876224,-3.112767354945845,0.4534957595004731,0.13861285454362451,0.16486524398101238,0.7503971904570633,0.17924214394067878,0.3206457344149002,0.3489388610079405,0.1422636093313827
87,a-pnt-s,bgbg_tip3p,aliphatic_carboxylates,-1.791168563413521,-0.8065552969845129,-3.138247579936504,8.348262201021157,0.19209863605051325,1.0795880253522228,-4.091778275767865,-3.37453627313198,0.36297557082262966,0.03400504191609901,0.15711589550424204,0.33605544150460465,0.12023414854206725,0.37526206448949523,0.6026938037121294,0.1949422680575953
88,b-ben-s,smirnoff,aliphatic_carboxylates,-0.8915735651899013,-0.5793878673099471,-2.10037287993579,6.214504654270627,0.17671267198496565,2.709481909053011,-4.104909945464897,-3.2076021077846235,0.6220621352705663,0.10916391623844746,0.49739972277380806,1.2473469067207559,0.34814305457919936,0.9504862969178864,1.2984434226037245,0.2027427145058564
89,b-ben-s,bgbg_tip3p,aliphatic_carboxylates,-0.9083019549107121,-0.5984592424766717,-1.8066933296412202,5.360423984552227,-0.15104829228296524,0.9600575667926705,-1.599207275910885,-3.07337536593559,1.0921245930673404,0.14469112618462404,0.6964767328302479,1.97223787621817,0.34253676890814944,1.1024836106876095,1.3563352573914524,0.3092601739746226
90,b-ben-p,smirnoff,aliphatic_carboxylates,0.6919218313560123,-0.5770132686769074,-2.643433132514346,6.352632138338606,0.5824651014514899,2.2613879999728397,-2.3676950316876173,-2.9164219755430167,0.7697103236806754,0.2130304438105802,1.0353546990824658,2.341502242086258,0.21335825454623386,0.9315869159827029,1.2185559977040186,0.3546412690596266
91,b-ben-p,bgbg_tip3p,aliphatic_carboxylates,-0.41284871008610935,-0.29343427393159516,-1.031458108165694,2.5377314781298423,0.12902661616774935,0.27469529695258643,0.38945514955412364,-2.4188648688218564,0.7121240737687986,0.1396715861841181,0.6742167430845712,1.534801877226637,0.11622068365725978,0.5186685009273937,0.7248968762663459,0.2784129363259091
92,b-cbu-p,smirnoff,cyclic_alcohols,-0.07037409388794913,-0.41887114745489384,-1.5522237163449546,4.320397405510988,0.13091472079614874,1.3965649873557595,-1.5786149373998342,-2.368541406364784,0.8844775109381294,0.15973366737010847,0.7943029992765213,1.7305159422772438,0.342911281318828,1.2631535534939136,1.3713909258779182,0.21399415257760263
93,b-cbu-p,bgbg_tip3p,cyclic_alcohols,0.13802011478765053,-0.17651532944009318,-0.5655861412295309,1.685319853126856,0.09644474199055253,0.30031615718678495,0.0874201801889285,-1.289379347027534,0.9015098719234093,0.1763505695663247,0.8649762416624508,2.040265839141287,0.1593400746318091,0.8135344362937007,1.032914163881297,0.18037635306807723
