,Delta G,Delta H,G_SEM,H_SEM,System,Type
48,-6.266088300000001,-4.3928465000026335,0.22498635467376682,0.39499033369261877,b-chp-s,cyclic_alcohols
49,-5.709203099999999,-4.393903118008893,0.2340518594096189,0.43551344923053537,b-chp-p,cyclic_alcohols
50,-7.0643225,-5.744055091887276,0.24211080196143667,0.4942147670296942,b-coc-s,cyclic_alcohols
51,-5.882021300000001,-4.472681394629035,0.2858033023039622,0.3473409085451638,b-coc-p,cyclic_alcohols
52,-4.2526000999999995,-1.482255991701095,0.22018820027792135,0.4091814518041549,b-cpe-s,cyclic_alcohols
53,-3.9646149,-1.071661468813545,0.234521109133613,0.39592918835818114,b-cpe-p,cyclic_alcohols
54,-3.2235410999999994,0.3819519762910204,0.23285050664293175,0.3847812749803175,b-ham-s,aliphatic_ammoniums
55,-2.119970399999999,0.6264950896875234,0.2340839692757067,0.36696339470986095,b-ham-p,aliphatic_ammoniums
56,-4.122811899999999,-0.8435287755783065,0.2374957170559924,0.36620619814358896,b-hep-s,aliphatic_carboxylates
57,-3.855102699999999,-1.0276629407817381,0.22998375525838777,0.3362348461997015,b-hep-p,aliphatic_carboxylates
58,-3.2098892,-0.478996209007164,0.23402945112105014,0.3543341461991299,b-hex-p,aliphatic_carboxylates
59,-3.1027362,0.1041085917786404,0.2299954758435696,0.3612692278337962,b-hex-s,aliphatic_carboxylates
60,-5.6300818,-2.9211246810700686,0.2236325735922654,0.4689140947758259,b-m4c-s,cyclic_alcohols
61,-5.7743449,-3.2955953488781233,0.22457512004518668,0.355487191475573,b-m4c-p,cyclic_alcohols
62,-5.7564456,-2.8736898695096897,0.22796726143194335,0.4301235743391723,b-m4t-p,cyclic_alcohols
63,-6.008905199999998,-3.26664866640931,0.2299186509658362,0.3556776357804344,b-m4t-s,cyclic_alcohols
64,-5.491785099999999,-3.2891573309825617,0.22716840940839464,0.40212107925912827,b-mch-s,cyclic_alcohols
65,-3.7787592000000005,0.30483747107427916,0.23328232193865442,0.3048374510219441,b-mha-s,aliphatic_ammoniums
66,-1.9658813999999998,-0.09135977872210788,0.23191517382676796,0.33724231188533654,b-mha-p,aliphatic_ammoniums
67,-4.4824417,-3.7908731028765033,0.2307632753265996,0.35147316505986737,b-mch-p,cyclic_alcohols
68,-2.6038059000000002,-2.3942886592449213,0.25144623302364266,0.34461748728455865,b-mo3-s,aliphatic_carboxylates
69,-2.2408668,-3.145049242175446,0.2447963795304579,0.35509242170605604,b-mo4-p,aliphatic_carboxylates
70,-3.402672700000001,-3.032392845820141,0.2346840609746218,0.3306236113461883,b-mo4-s,aliphatic_carboxylates
71,-2.1213641999999995,-2.7260679550963687,0.24406614075747993,0.4271691608460022,b-mo3-p,aliphatic_carboxylates
72,-2.7765978000000002,-2.6597355909834732,0.24703160595990548,0.3584072975365577,b-mp3-s,aliphatic_carboxylates
73,-2.9830291000000004,-2.473984042993834,0.23004369379131,0.3497796751000631,b-mp4-s,aliphatic_carboxylates
74,-2.4341432999999997,-2.022920226205315,0.24513102543409312,0.35099133155765083,b-mp4-p,aliphatic_carboxylates
75,-1.7604069999999998,-2.562261053975817,0.2580501750558794,0.4124693712807589,b-mp3-p,aliphatic_carboxylates
76,-5.239655199999999,-0.5381477877854195,0.23570088519125254,0.3894654559374505,b-oam-s,aliphatic_ammoniums
77,-4.181780099999998,-2.31167659413768,0.24182969088176498,0.3289088944346639,b-pb3-s,aliphatic_carboxylates
78,-2.9711789999999985,-1.7705347987321147,0.2343185260973404,0.48019866400202377,b-pb3-p,aliphatic_carboxylates
79,-4.119381999999999,-0.4021070749986393,0.23268514646736693,0.35999079499274667,b-oam-p,aliphatic_ammoniums
80,-4.677700000000001,-3.69708353059832,0.24125547690218352,0.34332382548823476,b-pb4-s,aliphatic_carboxylates
81,-3.1407824,-3.529823573480826,0.2427325822598606,0.3817929174084335,b-pha-s,aliphatic_carboxylates
82,-3.7883299999999993,-3.7178501104717725,0.24536205917268467,0.3558268660411265,b-pb4-p,aliphatic_carboxylates
83,-1.5249723000000008,-2.4783870214305352,0.2311057473608348,0.33965728596387573,b-pha-p,aliphatic_carboxylates
84,-1.6098345000000007,0.8575793519303261,0.22511755987452425,0.3333404232312288,b-pnt-s,aliphatic_carboxylates
85,-1.939075700000001,0.12898736241913866,0.2355518834792454,0.4240320899341872,b-pnt-p,aliphatic_carboxylates
